name,region,Beginner Runs,Intermediate Runs,Advanced Runs,Expert Runs,Runs,KM Pistes,Terrain Parks,Skiable Terrain,Snow Making,base_alt,summit_alt,lifts,skiPass_max
Schwyz - Ibergeregg (Mythen),central-switzerland,0,50,50,0,5,6,0,0,0,1360,1580,2,27
Schwyz - Rotenfluh (Mythen),central-switzerland,0,44,52,4,33,50,1,0,0,586,1571,15,45
Scuol,graubunden,0,38,46,16,25,80,0,32,2,1250,2783,14,57
Skiarena Andermatt-Sedrun,central-switzerland,0,30,53,17,47,120,1,26,0,1444,2963,22,37
Sörenberg,central-switzerland,0,28,65,8,18,53,0,0,0,1166,2350,17,50
Splügen,graubunden,0,40,37,23,14,30,1,12,0,1480,2215,6,50
St. Antönien,graubunden,0,55,35,10,7,10,0,0,0,1330,1680,3,32
St-Cergue La Dôle,jura,7,61,25,7,21,28,0,0,0,1230,1678,16,31
Ste-Croix - Les Rasses,jura,0,50,20,10,10,30,0,8,0,1100,1600,9,32
St-Luc Chandolin,valais,0,44,50,6,34,60,1,3,0,1680,2980,15,58
St. Moritz - Corviglia,graubunden,0,18,70,10,88,163,1,0,0,1730,3057,24,79
Stoos,central-switzerland,0,15,60,20,12,35,1,90,0,1300,1935,9,50
St. Peter - Pagig,graubunden,0,25,17,8,12,20,0,0,0,1750,2200,2,40
Thyon 2000,valais,0,36,60,4,41,212,1,0,0,1300,2700,51,75
Toggenburg,eastern-switzerland,0,17,75,8,23,60,1,0,0,1350,2262,17,59
Torgon,valais,0,49,49,2,23,45,1,0,0,1150,2001,51,61
Tschappina Heinzenberg,graubunden,0,50,40,10,0,30,1,13,2,1550,2180,8,34
Tschiertschen,graubunden,0,45,18,9,11,5,0,0,0,1351,2400,6,49
Unterbäch,valais,0,20,50,20,10,20,0,0,0,1228,2550,8,44
Val Mustair,graubunden,0,25,25,19,16,40,0,0,0,2e3,2700,3,40
Vals,graubunden,0,43,14,21,14,20,0,10,0,1250,3e3,5,49
Verbier,valais,0,31,48,21,94,412,1,162,3,1500,3330,82,75
Vercorin,valais,0,29,57,14,14,35,1,0,0,1330,2336,9,52
Veysonnaz,valais,0,41,54,5,125,412,0,0,0,1470,2700,88,58
Vichères - Liddes,valais,0,47,33,20,11,15,0,0,0,1346,2267,6,39
Villars - Gryon,lake-geneva-region,0,42,48,10,67,84,1,260,7,1114,2020,26,54
Zermatt,valais,5,23,59,14,109,360,1,0,0,1620,3899,52,79
Zuoz,graubunden,0,63,27,10,10,15,0,0,0,1716,2465,5,56
